p,digits,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat
7187,113,2243715.58,120208.83,2255474.14,205705.00,-1.560684
8237,129,2411643.84,27286.99,2409824.92,25299.41,1.545771
10853,170,4045187.88,71911.55,4053727.02,61790.96,-2.848059
13109,205,5359565.94,74685.46,5360249.84,78500.22,-0.199597
13397,210,5467421.50,98747.90,5462903.20,80524.26,1.121359
15331,240,6691991.38,111371.87,6751216.80,193540.09,-8.387367
16067,252,6683791.76,40008.82,6683424.22,30921.06,0.229855
16229,254,6698470.16,41769.80,6693359.24,31068.91,3.104666
19709,308,10242982.98,36069.74,10256589.54,59126.82,-6.212453
20981,328,11208225.62,130468.69,11234862.50,159252.25,-4.091529
21611,338,11352677.36,42634.50,11358126.96,38441.67,-3.001971
22901,358,11674485.06,39252.45,11671466.94,30173.55,1.927735
23371,366,11800636.92,40529.46,11798455.20,25132.60,1.446694
25579,400,13425455.86,31396.64,13453337.42,39503.56,-17.472857
28277,442,17413025.46,45645.26,17381497.52,31880.11,17.907153
28411,444,17501616.26,328903.13,17429302.94,65819.16,6.817479
30803,482,19222674.72,45938.96,19246497.86,58209.70,-10.159369
35117,549,21494718.56,48029.80,21476018.56,52171.09,8.339009
35507,555,21861735.80,58071.48,21874248.32,79334.17,-4.024545
36629,573,23296870.88,164410.20,23276237.24,48439.77,3.806898
40787,638,28692185.18,55952.51,28707939.60,77645.75,-5.205536
42677,667,32237240.30,94541.07,32225429.58,101762.61,2.688867
48371,756,34852449.86,615644.12,34780123.38,87443.82,3.678158
52667,823,38955575.62,96427.47,38994898.28,123333.36,-7.942858
58171,909,50524077.42,101407.19,50594396.50,177988.50,-10.855210
61717,965,54448209.66,164875.79,54526629.20,449160.00,-5.182916
83579,1306,84823729.02,222341.33,84815330.60,400023.59,0.580300
