p,digits,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat
7187,113,2202719.32,6765.78,2203200.84,25079.90,-0.586184
8237,129,2384804.76,28718.35,2384262.56,10103.22,0.563199
10853,170,4033463.58,37435.34,4033309.00,38458.89,0.091079
13109,205,5285119.34,46780.86,5285020.76,44201.43,0.048436
13397,210,5418587.44,8019.03,5418276.70,4427.64,1.072737
15331,240,6601143.40,4819.62,6600818.28,4112.75,1.622693
16067,252,6677490.10,9116.66,6683176.10,19948.31,-8.198084
16229,254,6680014.04,14617.21,6678162.46,5208.98,3.773267
19709,308,10242228.40,71578.74,10244698.66,100413.54,-0.633475
20981,328,11137480.66,73394.89,11135807.12,70754.66,0.519117
21611,338,11361977.34,80139.85,11359679.34,73485.88,0.668335
22901,358,11658320.68,18674.90,11659944.30,25080.27,-1.641972
23371,366,11743430.58,6911.61,11743635.66,6723.65,-0.672564
25579,400,13376432.62,7091.36,13376728.38,7605.56,-0.899420
28277,442,17355664.94,23477.82,17355004.76,20551.17,0.669085
28411,444,17391060.14,11682.39,17389216.98,9151.33,3.927622
30803,482,19230862.98,17912.00,19227258.70,18977.40,4.367681
35117,549,21344853.42,38915.67,21294704.28,108289.72,13.781661
35507,555,21655954.18,53541.59,21645872.38,32285.05,5.099220
36629,573,22853044.58,35205.88,22847105.80,40189.89,3.514944
40787,638,28681998.22,17713.76,28681225.24,17131.92,0.991913
42677,667,32055029.08,34496.77,32043593.68,20951.71,8.959642
48371,756,34685648.24,28031.38,34684383.24,21240.13,1.137425
52667,823,38592241.36,38160.76,38575108.70,30092.39,11.148171
58171,909,50165887.58,47774.74,50153178.88,41137.36,6.374535
61717,965,54084694.34,42536.46,54101059.84,55975.02,-7.361285
83579,1306,85046568.36,62163.34,85043229.98,77055.06,1.066311
