p,digits,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat
7187,113,2213179.52,8795.56,2213209.42,8327.17,-0.078064
8237,129,2387538.82,8099.91,2385674.30,8877.48,4.906324
10853,170,4029214.64,11677.53,4028863.32,14741.27,0.590750
13109,205,5275819.90,4448.50,5279328.96,8828.06,-11.225107
13397,210,5432639.32,79302.15,5425247.94,5275.55,2.940910
15331,240,6600946.28,5082.36,6603955.88,8867.31,-9.311824
16067,252,6680369.76,7891.46,6687823.90,13501.89,-15.072682
16229,254,6691848.28,9396.41,6697612.28,10402.02,-13.003150
19709,308,10222937.46,10954.07,10229330.14,18444.22,-9.423641
20981,328,11131328.34,13342.12,11131073.26,13019.46,0.432701
21611,338,11344459.46,17744.25,11343418.04,16800.54,1.347710
22901,358,11674674.24,32302.41,11691962.04,25240.59,-13.335714
23371,366,11750581.14,15320.58,11740802.52,13196.40,15.292822
25579,400,13391158.06,21499.19,13384064.30,22795.84,7.158969
28277,442,17351564.50,12775.64,17354749.66,57630.39,-1.706327
28411,444,17399859.80,33559.36,17387181.44,27438.55,9.248848
30803,482,19234312.36,35038.83,19228853.44,32713.49,3.601156
35117,549,21380397.52,105118.04,21400330.40,118456.62,-3.980072
35507,555,21679389.80,28479.73,21681595.74,27540.77,-1.760762
36629,573,22874926.30,25648.71,22878796.30,26761.78,-3.301489
40787,638,28709934.98,34603.39,28713753.36,30006.78,-2.636313
42677,667,32071557.78,36135.29,32062279.96,57797.46,4.304196
48371,756,34847400.72,237841.95,34708704.30,69056.95,17.709311
52667,823,39033686.72,231195.71,39028424.20,252309.78,0.486288
58171,909,50194119.86,81261.56,50180239.06,66789.25,4.173050
61717,965,54126987.50,47488.62,54109053.84,51172.75,8.123332
83579,1306,85238622.82,182570.32,85241196.76,188125.95,-0.310489
