p,digits,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat
7187,113,1819964.78,4997.33,1819086.22,2871.98,4.820159
8237,129,2018025.98,3740.04,2024338.42,41925.85,-4.742357
10853,170,3337544.86,5713.68,2702763.90,295145.60,67.999579
13109,205,3168174.16,42721.17,3150848.86,44114.14,8.921616
13397,210,3259157.80,46994.62,3235730.30,46575.08,11.196992
15331,240,3937000.42,59337.05,3913739.98,48498.19,9.598192
16067,252,4022198.84,59707.93,3990160.66,53969.43,12.587985
16229,254,4057489.58,165940.81,4755887.10,799287.34,-27.054300
19709,308,8472176.02,4194.97,8471098.56,3941.66,5.919172
20981,328,8383079.10,1094548.93,6413942.68,80174.75,56.738604
21611,338,6632111.34,93072.33,6603427.82,86287.70,7.146795
22901,358,6909244.14,99672.01,6866246.90,88843.55,10.183407
23371,366,7045077.92,102655.70,7012764.62,96375.86,7.257020
25579,400,8168467.32,112399.17,8114465.08,100825.60,11.309680
28277,442,10360438.20,126520.78,10285823.34,114508.60,13.827118
28411,444,10390205.16,127857.14,10323664.88,129917.67,11.543706
30803,482,11477026.44,139844.55,11382111.48,130518.25,15.690779
35117,549,13012348.50,151986.39,12884205.48,147777.40,19.115602
35507,555,13249576.32,172357.01,13159132.96,153326.17,12.398130
36629,573,14081702.78,168496.71,13957986.20,152784.20,17.200427
40787,638,17775010.90,222106.39,17626288.56,203194.35,15.623061
42677,667,19311617.78,222102.96,19146466.24,196940.77,17.593682
48371,756,21194686.92,256741.91,20998651.46,230891.52,17.953403
52667,823,23777900.14,258501.50,23540958.82,248183.55,20.908731
58171,909,30432593.40,288927.38,30140038.20,279685.15,23.006419
61717,965,32643347.64,297299.19,32341643.42,280815.47,23.329527
83579,1306,51376415.68,396641.07,50856323.58,362885.91,30.593106
