p,digits,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat
7187,113,1814461.14,4482.46,1696563.68,2991.90,691.794564
8237,129,1922156.02,3997.86,1887574.88,30908.44,35.088056
10853,170,3306697.50,136749.35,3077436.56,4755.05,52.983717
13109,205,4194599.08,4055.31,4009213.52,185337.14,31.623469
13397,210,3420128.70,118680.79,3120754.32,45817.23,74.416117
15331,240,4032016.56,66682.18,3687836.52,57111.78,123.967333
16067,252,3900891.92,67651.29,3754790.28,62207.59,50.270962
16229,254,3906974.02,69840.75,3762728.38,76893.81,43.912096
19709,308,6033451.18,85864.88,5760194.14,79246.05,73.954034
20981,328,6754204.60,97865.52,6191750.64,86799.04,135.969029
21611,338,6953657.66,98008.89,6316702.94,86846.69,153.815705
22901,358,7065704.22,108434.36,6534502.06,90372.99,119.002899
23371,366,7012362.18,111536.76,6681179.32,104684.09,68.464790
25579,400,8216451.82,115132.87,7711764.86,100092.59,104.612984
28277,442,10346725.44,134610.94,9647943.34,184232.13,96.846313
28411,444,9899828.62,134428.12,9813653.18,131428.43,14.495176
30803,482,11547281.42,164726.99,10533188.92,142975.86,147.020767
35117,549,13187148.10,190817.16,12083147.16,153691.80,142.487492
35507,555,13064853.54,176397.81,12234319.06,147216.48,114.310584
36629,573,13356296.90,171094.44,12986370.74,160303.44,49.894215
40787,638,14005583.66,190925.40,15777175.78,198048.57,-203.650461
42677,667,18381446.92,222507.03,17627150.16,195989.40,80.444319
48371,756,20662450.74,267276.54,19100060.32,223324.30,141.853607
52667,823,22973971.92,557962.79,21045127.52,300373.81,96.256276
58171,909,30158985.62,349224.54,27715215.92,278540.06,172.998661
61717,965,32691521.78,341807.72,29866063.10,305395.00,194.929405
83579,1306,48137971.18,415189.72,46934640.38,418372.01,64.559342
