p,digits,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat
7187,113,1240376.04,3423.04,1473023.96,32377.34,-225.966648
8237,129,1386721.46,4000.71,1666247.92,3063.68,-1754.187068
10853,170,2173700.24,31973.75,2680877.56,3703.29,-498.278991
13109,205,2938693.90,4889.05,3432123.72,3424.11,-2614.169965
13397,210,3032714.18,3985.56,3413376.60,222614.68,-54.065049
15331,240,2492139.52,106691.05,2952841.26,44928.59,-125.846810
16067,252,2521707.18,34635.78,3008767.64,47854.00,-260.730839
16229,254,2525039.16,38137.01,2996343.50,48358.77,-241.996942
19709,308,3848024.02,65144.47,4617823.04,98781.93,-205.725164
20981,328,4120136.48,68603.83,4992926.64,71083.01,-279.383624
21611,338,4197451.40,69470.62,5076015.28,96556.61,-233.563591
22901,358,4370366.16,71412.91,5322723.22,80900.61,-279.084325
23371,366,4468470.22,68808.84,5446147.90,83195.30,-286.364243
25579,400,5332054.88,86584.69,6281861.74,90728.58,-239.491722
28277,442,6495593.44,103108.85,8051430.68,107900.44,-329.659533
28411,444,6539995.84,104094.51,8084359.54,133769.70,-288.125558
30803,482,7013983.56,139145.16,8797865.92,123490.50,-303.219686
35117,549,7882598.26,132112.95,9909348.82,131373.76,-343.997177
35507,555,8050475.24,137740.79,10033603.42,135319.36,-324.780827
36629,573,8614921.40,144875.17,10597895.36,148750.61,-301.995176
40787,638,10958347.50,164411.21,13093672.68,178371.31,-278.355939
42677,667,11564356.90,169320.53,14070962.56,194328.64,-307.534525
48371,756,12730833.92,200752.53,15185769.86,200668.73,-273.498392
52667,823,14551612.42,204173.97,16494486.32,281027.48,-176.871043
58171,909,18597674.16,231376.45,22214557.60,243200.45,-340.728270
61717,965,19807107.10,250874.88,24147085.80,251756.98,-386.146330
83579,1306,31341198.24,349428.87,37771760.28,331122.86,-422.421221
