p,digits,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat
7187,113,1839851.34,28579.13,1811251.96,3086.61,31.462223
8237,129,2021358.10,4635.62,2014658.14,11597.82,16.963376
10853,170,3321977.98,7396.11,3319725.16,4624.96,8.166856
13109,205,4452025.46,7185.95,4301763.24,246692.39,19.253508
13397,210,4557235.44,12246.63,4552950.58,4932.40,10.263070
15331,240,5502415.80,21788.92,5496934.30,3789.01,7.837808
16067,252,4908025.78,638458.70,4009913.54,60970.11,44.281928
16229,254,4084035.00,85470.16,4061164.98,61346.25,6.874197
19709,308,6789815.26,911385.60,6176982.62,89341.36,21.162307
20981,328,6768353.70,99558.33,6720674.90,92577.58,11.090352
21611,338,7450812.36,958269.24,6860199.50,93458.89,19.398120
22901,358,7178245.50,111880.22,7126103.28,101190.34,10.930378
23371,366,7295667.94,111396.68,7229440.80,104622.95,13.703906
25579,400,8374699.64,127385.20,8305807.10,108109.26,13.039366
28277,442,11177805.32,1209065.68,10575862.48,143868.01,15.633361
28411,444,11193025.42,1208504.52,10596883.78,146939.70,15.485115
30803,482,12254255.30,1288170.97,11634015.08,162117.62,15.106856
35117,549,13855969.58,1402619.29,13202412.16,169683.24,14.628136
35507,555,13614722.98,191576.99,13504453.34,167409.67,13.706000
36629,573,14927611.84,1448589.77,14257503.42,182149.54,14.514202
