p,digits,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat
7187,113,2051664.30,6413.17,2047957.58,6688.01,12.650248
8237,129,2282561.70,39432.86,2282708.62,38519.60,-0.084282
10853,170,3689585.38,57755.51,3689435.48,59045.46,0.057391
13109,205,4707520.62,71884.49,4706881.86,70922.62,0.200029
13397,210,5003431.88,238089.51,5023413.54,184036.40,-2.099776
15331,240,5825669.76,8935.34,5826156.20,10948.36,-1.088511
16067,252,5597782.72,10707.88,5597077.34,11135.69,1.443880
16229,254,5694795.16,7984.58,5696385.64,16373.40,-2.760976
19709,308,9147100.32,11844.51,9146706.28,11090.04,0.767945
20981,328,10069302.18,125702.25,10064784.62,123600.64,0.810357
21611,338,10289158.60,14071.12,10288818.06,10676.07,0.609689
22901,358,10818186.46,15441.20,10817728.76,14547.18,0.682260
23371,366,10573985.14,17004.46,10578115.74,15365.24,-5.699455
25579,400,12238517.70,137301.58,12239147.78,139835.20,-0.101671
28277,442,15735343.56,146759.70,15734214.66,145903.53,0.172505
28411,444,15400745.72,141872.02,15399702.06,144793.96,0.162808
30803,482,17238288.82,155636.04,17241143.22,153823.44,-0.412495
35117,549,18675107.50,183610.11,18691384.22,230891.25,-1.744813
35507,555,18722257.98,97343.58,18722100.08,97088.25,0.036319
36629,573,19951499.30,22424.41,19953062.34,23041.33,-1.537308
40787,638,25637791.90,27743.57,25646152.48,35219.81,-5.896892
42677,667,27788152.88,418901.23,27692207.00,189224.07,6.600746
48371,756,29448138.04,312765.08,29534426.40,412005.86,-5.275126
52667,823,32822690.48,125420.05,32828994.74,127546.21,-1.114477
58171,909,45161475.56,353571.21,45198943.56,413764.19,-2.176999
61717,965,48332007.96,485996.22,48283818.92,399530.41,2.422150
83579,1306,76373703.50,177406.08,76449565.26,465360.64,-4.816902
