p,digits,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat
7187,113,1982620.60,60216.61,1969142.48,49389.34,5.472698
8237,129,2235986.32,138731.08,2211891.40,51685.15,5.146694
10853,170,3621850.84,314093.58,3573865.30,59846.37,4.745781
13109,205,4570735.14,72902.30,4563937.86,8007.98,2.930822
13397,210,4828130.66,228969.26,4795391.20,12941.15,4.514418
15331,240,5704936.08,269687.59,5677661.62,16523.35,3.192138
16067,252,5513670.54,243864.20,5484937.90,18901.06,3.714727
16229,254,5640215.52,429751.34,5567656.52,6488.36,5.338565
19709,308,8873918.26,571863.95,8831726.46,11516.28,2.332638
20981,328,9839005.64,652014.41,9737675.50,23442.23,4.911351
21611,338,9980206.22,462296.59,9987623.34,441808.97,-0.366792
22901,358,10444018.06,457605.82,10390330.00,12415.83,3.708740
23371,366,10257296.70,322517.13,10231713.66,25192.21,2.500797
25579,400,12086868.48,643318.87,12071906.74,83576.57,0.729326
28277,442,15436350.80,383168.72,15405065.52,150939.92,2.402291
28411,444,15034657.22,590548.37,15004736.80,187997.87,1.526690
30803,482,16847955.32,684969.40,16800853.30,40914.58,2.170676
35117,549,18176505.84,410718.09,18155273.06,31634.38,1.629966
35507,555,18129047.56,103020.14,18121649.78,41953.33,2.103100
36629,573,19524869.26,888305.08,19391751.56,18303.32,4.737852
40787,638,24804070.80,702331.64,24732994.20,42799.04,3.194328
42677,667,27245713.16,225991.44,27176258.86,213183.83,7.069548
48371,756,28879747.72,204653.07,28847988.18,117043.02,4.259978
52667,823,32202946.22,685332.99,32104883.82,223583.45,4.301682
58171,909,43998227.94,204037.43,44007833.14,186094.02,-1.099896
61717,965,47302446.16,652696.70,47248581.10,151892.01,2.541811
83579,1306,73657868.08,1112136.75,73628147.16,297406.26,0.816404
