p,digits,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat
7187,113,1781984.14,5462.14,1781904.44,4641.05,0.351630
8237,129,1964396.00,7831.17,1964780.88,4998.98,-1.310018
10853,170,3274546.24,11992.02,3272581.46,7309.75,4.424002
13109,205,4326237.12,11244.17,4327075.46,9185.51,-1.825912
13397,210,4490209.18,56231.09,4484308.66,42056.80,2.657269
15331,240,5334189.76,17727.49,5337331.60,22100.88,-3.506743
16067,252,5296063.94,100356.89,5299838.32,110643.11,-0.799029
16229,254,5295569.80,98883.43,5281398.36,74027.93,3.627974
19709,308,8388867.58,141013.31,8374339.60,119522.72,2.485307
20981,328,9124647.92,32280.52,9126061.90,18996.44,-1.193797
21611,338,9251070.70,10709.01,9250713.64,13974.14,0.641341
22901,358,9604212.58,114229.44,9603741.52,107932.82,0.094787
23371,366,9766749.86,184563.81,9743527.26,118172.56,3.350897
25579,400,11133557.34,65835.85,11144203.66,97189.71,-2.867951
28277,442,14427188.22,111229.92,14419356.04,31288.68,2.143505
28411,444,14498294.62,8941.15,14499864.68,9059.38,-3.900648
30803,482,15836323.30,78432.31,15832193.78,104207.84,1.001235
35507,555,17310905.78,87552.16,17316826.92,137844.53,-1.146628
35507,555,17285943.74,10822.19,17284689.60,8957.68,2.823037
36629,573,18593839.30,162739.28,18626685.60,246028.12,-3.521211
40787,638,24076982.56,84175.89,24064444.86,69681.82,3.628232
42677,667,26033123.84,377548.30,26000440.68,324516.93,2.075994
48371,756,27625936.70,166859.77,27629515.38,178896.97,-0.462598
52667,823,30865900.14,212595.48,30893046.28,289271.42,-2.391245
58171,909,42639443.82,558510.84,42588884.48,388538.85,2.349954
61717,965,45847525.82,610128.19,45991533.68,875702.41,-4.266808
83579,1306,71405951.46,680344.15,71484150.86,767444.54,-2.411175
