"p","digits","bru_mean","bru_stddev","bru_mean_tri","bru_stddev_tri","bru_tstat","ktt_mean","ktt_stddev","ktt_mean_tri","ktt_stddev_tri","ktt_tstat","by_mean","by_stddev","by_mean_tri","by_stddev_tri","by_tstat","expcomp_mean","expcomp_stddev","expcomp_mean_tri","expcomp_stddev_tri","expcomp_tstat","expsquares_mean","expsquares_stddev","expsquares_mean_tri","expsquares_stddev_tri","expsquares_tstat","exp_mean","exp_stddev","exp_mean_tri","exp_stddev_tri","exp_tstat"
7187,113,6222853.98,190378.76,5695283.12,28796.19,86.646338,1186231.20,30576.15,553047.26,2863.12,652.005696,1782584.60,19955.29,1781621.20,19772.24,0.342964,1560150.08,8962.80,1559999.96,3515.38,0.493086,10756958.52,36475.49,10755564.90,10340.01,1.162409,808508.06,20576.12,807416.00,4069.31,1.646462
8237,129,8133149.04,152221.16,7515716.58,32687.01,125.408114,1437171.82,7184.78,685509.92,3214.15,3019.920377,1962955.50,10087.59,1962194.08,8864.13,1.793030,1825306.20,13841.66,1825465.40,12014.19,-0.086530,16691925.60,63608.76,16685161.96,66144.49,2.330743,919690.36,36566.60,920098.22,24377.63,-0.293479
10853,170,14088033.46,490934.13,13018787.32,179596.45,64.681601,2293265.42,13798.29,1086352.60,14442.01,1910.771944,3299358.60,23521.31,3292809.00,11250.79,2.511967,3111010.16,15681.05,3112060.30,19941.30,-1.309049,25215832.76,45784.59,25220296.38,48025.96,-2.127290,1773654.02,7891.18,1772425.80,8530.74,3.342243
13109,205,20362148.40,118035.40,18961297.54,13639.78,372.819976,3255541.32,8681.83,1568709.06,5936.59,5071.778073,4362019.90,53727.43,4362139.60,53312.78,-0.050010,33412424.60,1040050.95,3774185.56,9826.05,4.778504,33353468.42,1463928.98,33199399.04,682748.49,3.016198,2156723.08,40761.21,2158178.28,34639.39,-0.860273
13397,210,21282442.30,368965.64,19753364.62,23076.84,130.796415,3335226.52,15544.95,1606537.74,10122.77,2946.893161,4522305.42,21831.24,4520184.54,20511.23,2.238948,3678888.38,3719.28,3678763.52,3413.55,0.782128,34496012.18,1731970.42,34582205.98,1356434.04,-1.238996,2052724.26,16066.25,2051938.32,13537.23,1.182994
15331,240,27531723.46,293777.80,25684092.68,290400.50,141.441714,4249422.10,11859.42,2048626.64,5450.15,5332.226134,5368479.50,10171.68,5366961.32,16292.22,2.499593,4884879.60,3982.49,4884752.12,4029.34,0.711570,42430933.60,891410.61,42447706.60,1336512.25,-0.330162,2930453.96,10021.38,2930842.74,9836.51,-0.875522
16067,252,30307285.34,69993.42,28174786.26,19350.48,928.621171,4613607.80,8359.12,2267536.40,33649.08,2139.757310,5286806.16,31200.78,5282425.52,11280.99,4.175354,4772296.20,18956.09,4768183.40,5654.27,2.079124,45302015.38,138661.96,45296947.46,53231.70,1.078995,2758916.42,60671.63,2762999.16,83310.78,-1.252720
16229,254,31143303.60,288905.28,28992814.60,186437.76,197.779837,4719270.86,67375.67,2285428.76,37482.49,998.246284,5325745.70,75969.68,5327722.78,79545.61,-0.568396,5137697.88,67917.81,5139545.50,74271.55,-0.580534,46027759.20,54415.44,46048415.48,170058.61,-3.658359,2920068.34,46020.20,2919831.46,44973.97,0.116413
19709,308,45597361.32,425980.64,42456534.68,234221.53,204.312264,6721153.48,80376.55,3285294.32,13712.91,1332.526004,8352941.20,21133.80,8351859.40,9973.84,0.462919,7569230.00,53660.80,7564767.40,39081.29,0.672241,82745907.18,4919285.83,87002545.34,2972492.40,-4.467738,4689760.66,21220.05,4689764.74,76403.07,-0.001627
20981,328,51539238.56,92296.95,47955871.58,63493.55,1011.501825,7523456.70,26722.62,3695859.84,10043.42,4239.901780,9162305.20,25870.94,9165081.20,63354.32,-0.405652,7814639.20,52726.25,780847.80,25626.06,1.049300,89547579.78,283843.78,89516594.46,249758.94,2.591605,4890061.96,11997.35,4890681.34,12482.92,-1.131281
21611,338,55027879.38,330789.61,51249812.44,70374.86,353.268775,8021322.84,10376.35,3896498.02,11418.29,8454.250835,9307480.60,45079.59,9296287.00,32657.06,2.010867,7265073.48,11987.51,7265111.74,8264.84,-0.083094,93676548.78,1202181.19,93516496.46,344780.85,4.046950,4573865.44,49297.22,4572789.58,50519.86,0.481985
22901,358,61723551.82,211923.83,57556621.52,107046.18,554.996088,8889145.28,64296.49,4370905.42,37428.26,1920.498214,9655103.68,80310.38,9655602.16,78561.04,-0.140311,8526066.70,69570.79,8527860.16,71772.77,-0.567385,101990242.30,227464.38,101978717.92,238127.82,1.106657,5200071.64,53054.33,5200711.82,53707.45,-0.268159
23371,366,64450921.38,196448.10,60101634.80,653877.46,201.444914,9324621.42,21578.24,4544484.66,17079.87,5492.804618,9723034.62,31243.78,9729387.80,39088.76,-4.014809,8139407.98,51067.74,8137436.12,31283.02,1.041210,104689015.70,174311.84,10699172.00,171754.23,-1.312441,5103148.44,245514.13,5114720.04,167439.34,-1.231348
