"p","bru_tstat","ktt_tstat","by_tstat","expcomp_tstat","expsquares_tstat","exp_tstat"
7187,86.646338,652.005696,0.342964,0.493086,1.162409,1.646462
8237,125.408114,3019.920377,1.79303,-0.08653,2.330743,-0.293479
10853,64.681601,1910.771944,2.511967,-1.309049,-2.12729,3.342243
13109,372.819976,5071.778073,-0.05001,4.778504,3.016198,-0.860273
13397,130.796415,2946.893161,2.238948,0.782128,-1.238996,1.182994
15331,141.441714,5332.226134,2.499593,0.71157,-0.330162,-0.875522
16067,928.621171,2139.75731,4.175354,2.079124,1.078995,-1.25272
16229,197.779837,998.246284,-0.568396,-0.580534,-3.658359,0.116413
19709,204.312264,1332.526004,0.462919,0.672241,-4.467738,-0.001627
20981,1011.501825,4239.90178,-0.405652,1.0493,2.591605,-1.131281
21611,353.268775,8454.250835,2.010867,-0.083094,4.04695,0.481985
22901,554.996088,1920.498214,-0.140311,-0.567385,1.106657,-0.268159
23371,201.444914,5492.804618,-4.014809,1.04121,-1.312441,-1.231348
25579,83.641382,1155.64429,-0.045285,0.660099,-1.322171,1.886799
28277,1285.511342,8096.484658,0.236084,-0.861794,-0.266311,-1.441204
28411,226.541613,1371.076919,-0.81202,-1.653982,-0.262227,1.222019
30803,617.673131,6732.774469,-1.22736,2.134661,-1.901191,0.758732
35117,346.507444,4094.864009,-0.06737,-0.048959,-1.544098,-0.690352
35507,573.58292,1734.952881,3.550464,0.06948,-2.154404,-0.351563
36629,720.523447,5973.390682,2.543941,3.96631,0.747209,-2.346714
40787,318.858938,8408.629239,-3.429449,2.752093,1.713264,-0.764265
42677,92.41314,23009.76453,-0.312068,3.304725,1.281831,-1.863431
48371,4425.944718,20572.562632,-2.789529,-0.341822,-0.530638,-0.727855
52667,7515.104843,16117.718704,-1.693412,-1.160096,-2.117118,4.463352
58171,1120.57332,11429.139155,0.0794,-2.671217,1.600775,-3.378872
61717,531.092093,19250.383818,-2.885019,2.201135,2.704511,1.119912
83579,304.239061,1419.418492,4.281391,-1.496464,-2.992715,1.95091
